timestamp,depart_date,return_date,out_cheapest_price,out_cheapest_airline,out_cheapest_stops,out_num_options,out_price_label,in_cheapest_price,in_cheapest_airline,in_cheapest_stops,in_num_options,in_price_label,roundtrip_cheapest_total,out_cheapest_nonstop,out_nonstop_airline,in_cheapest_nonstop,in_nonstop_airline
2026-03-17 17:08:59,2026-07-11,2026-07-17,239,Alaska,1,7,high,246,Alaska,1,6,high,485,491,Delta,489,Delta
2026-03-17 18:42:07,2026-07-11,2026-07-17,239,Alaska,1,7,high,246,Alaska,1,6,high,485,491,Delta,489,Delta
2026-03-18 01:01:22,2026-07-11,2026-07-17,239,Alaska,1,7,high,246,Alaska,1,6,high,485,491,Delta,489,Delta
2026-03-18 06:45:31,2026-07-11,2026-07-17,239,Alaska,1,7,high,246,Alaska,1,7,high,485,491,Delta,489,Delta
2026-03-18 12:38:00,2026-07-11,2026-07-17,239,Alaska,1,7,high,246,Alaska,1,7,high,485,491,Delta,489,Delta
2026-03-18 18:40:20,2026-07-11,2026-07-17,239,Alaska,1,7,high,246,Alaska,1,7,high,485,491,Delta,489,Delta
2026-03-19 01:00:21,2026-07-11,2026-07-17,239,Alaska,1,7,high,246,Alaska,1,7,high,485,491,Delta,489,Delta
2026-03-19 06:41:06,2026-07-11,2026-07-17,239,Alaska,1,7,high,246,Alaska,1,7,high,485,491,Delta,489,Delta
2026-03-19 12:31:34,2026-07-11,2026-07-17,239,Alaska,1,7,high,246,Alaska,1,7,high,485,491,Delta,489,Delta
2026-03-19 18:37:50,2026-07-11,2026-07-17,239,Alaska,1,7,high,246,Alaska,1,7,high,485,491,Delta,489,Delta
2026-03-20 00:57:22,2026-07-11,2026-07-17,239,Alaska,1,7,high,246,Alaska,1,7,high,485,491,Delta,489,Delta
2026-03-20 06:37:33,2026-07-11,2026-07-17,239,Alaska,1,7,high,246,Alaska,1,7,high,485,491,Delta,489,Delta
2026-03-20 12:27:57,2026-07-11,2026-07-17,239,Alaska,1,6,high,246,Alaska,1,7,high,485,491,Delta,489,Delta
2026-03-20 18:29:13,2026-07-11,2026-07-17,239,Alaska,1,6,high,246,Alaska,1,8,typical,485,491,Delta,489,Delta
2026-03-21 00:53:21,2026-07-11,2026-07-17,239,Alaska,1,6,high,246,Alaska,1,8,typical,485,491,Delta,489,Delta
2026-03-21 06:26:45,2026-07-11,2026-07-17,239,Alaska,1,6,high,246,Alaska,1,8,typical,485,491,Delta,489,Delta
2026-03-21 12:19:34,2026-07-11,2026-07-17,239,Alaska,1,6,high,246,Alaska,1,8,typical,485,491,Delta,539,Delta
2026-03-21 18:18:03,2026-07-11,2026-07-17,239,Alaska,1,7,high,246,Alaska,1,8,typical,485,591,Delta,539,Delta
2026-03-22 00:59:58,2026-07-11,2026-07-17,239,Alaska,1,7,high,246,Alaska,1,8,typical,485,572,Delta,539,Delta
2026-03-22 06:34:27,2026-07-11,2026-07-17,239,Alaska,1,12,high,246,Alaska,1,7,typical,485,572,Delta,539,Delta
2026-03-22 12:21:00,2026-07-11,2026-07-17,239,Alaska,1,13,high,246,Alaska,1,7,typical,485,491,Delta,539,Delta
2026-03-22 18:18:37,2026-07-11,2026-07-17,239,Alaska,1,11,high,246,Alaska,1,7,typical,485,491,Delta,489,Delta
2026-03-23 01:01:36,2026-07-11,2026-07-17,239,Alaska,1,11,high,246,Alaska,1,7,typical,485,491,Delta,489,Delta
2026-03-23 06:54:36,2026-07-11,2026-07-17,239,Alaska,1,11,high,246,Alaska,1,6,typical,485,491,Delta,489,Delta
2026-03-23 12:34:47,2026-07-11,2026-07-17,239,Alaska,1,10,high,246,Alaska,1,6,typical,485,491,Delta,489,Delta
2026-03-23 18:35:52,2026-07-11,2026-07-17,239,Alaska,1,8,high,246,Alaska,1,6,typical,485,491,Delta,489,Delta
2026-03-24 00:54:33,2026-07-11,2026-07-17,239,Alaska,1,8,high,338,Alaska,1,6,typical,577,491,Delta,489,Delta
2026-03-24 06:47:05,2026-07-11,2026-07-17,239,Alaska,1,8,high,338,Alaska,1,6,typical,577,491,Delta,489,Delta
2026-03-24 12:38:11,2026-07-11,2026-07-17,239,Alaska,1,8,high,338,Alaska,1,7,typical,577,491,Delta,489,Delta
2026-03-24 18:43:06,2026-07-11,2026-07-17,239,Alaska,1,7,high,338,Alaska,1,7,typical,577,491,Delta,489,Delta
2026-03-25 00:59:24,2026-07-11,2026-07-17,239,Alaska,1,7,high,338,Alaska,1,7,typical,577,491,Delta,489,Delta
2026-03-25 06:45:49,2026-07-11,2026-07-17,239,Alaska,1,7,high,338,Alaska,1,7,typical,577,491,Delta,489,Delta
2026-03-25 12:35:24,2026-07-11,2026-07-17,337,United,2,6,high,338,Alaska,1,7,high,675,491,Delta,489,Delta
2026-03-25 18:38:56,2026-07-11,2026-07-17,337,United,2,6,high,339,Alaska,2,6,high,676,491,Delta,489,Delta
2026-03-26 01:04:09,2026-07-11,2026-07-17,337,United,2,6,high,334,Alaska,1,6,high,671,491,Delta,489,Delta
2026-03-26 06:53:10,2026-07-11,2026-07-17,337,United,2,6,high,334,Alaska,1,7,high,671,491,Delta,456,Alaska
2026-03-26 12:41:48,2026-07-11,2026-07-17,337,United,2,5,high,334,Alaska,1,7,high,671,491,Delta,456,Alaska
